name_1,name_2,effective_utilization,fidelity,depth_avg,depth_diff,depth_max,depth_ratio,depth_sum,m1_critical_depth,m1_depth,m1_entanglement_ratio,m1_liveness,m1_measurement,m1_num_clbits,m1_num_cnot_gates,m1_num_connected_components,m1_num_measurements,m1_num_nonlocal_gates,m1_num_qubits,m1_number_instructions,m1_parallelism,m1_program_communication,m2_critical_depth,m2_depth,m2_entanglement_ratio,m2_liveness,m2_measurement,m2_num_clbits,m2_num_cnot_gates,m2_num_connected_components,m2_num_measurements,m2_num_nonlocal_gates,m2_num_qubits,m2_number_instructions,m2_parallelism,m2_program_communication,num_cnot_gates_avg,num_cnot_gates_diff,num_cnot_gates_max,num_cnot_gates_ratio,num_cnot_gates_sum,num_measurements_avg,num_measurements_diff,num_measurements_max,num_measurements_ratio,num_measurements_sum,num_nonlocal_gates_avg,num_nonlocal_gates_diff,num_nonlocal_gates_max,num_nonlocal_gates_ratio,num_nonlocal_gates_sum,num_qubits_avg,num_qubits_diff,num_qubits_max,num_qubits_ratio,num_qubits_sum,number_instructions_avg,number_instructions_diff,number_instructions_max,number_instructions_ratio,number_instructions_sum,pair_index,pareto_rank,topk_orig,topk_new
GHZ-6,HS-1-10,0.49002849002849,0.9081807111344362,10.0,6.0,13.0,0.5384615384615384,20.0,1.0,7.0,0.8333333333333334,0.4047619047619047,0.0,6.0,5.0,1.0,6.0,5.0,6.0,12.0,0.0,0.3333333333333333,1.0,13.0,0.2307692307692307,0.4461538461538462,0.0,10.0,,1.0,10.0,9.0,10.0,49.0,0.6666666666666667,0.2,2.5,5.0,5.0,0.0,5.0,8.0,4.0,10.0,0.6,16.0,7.0,4.0,9.0,0.5555555555555556,14.0,8.0,4.0,10.0,0.6,16.0,30.5,37.0,49.0,0.2448979591836734,61.0,120,12,False,False
QSVM-4,TL-1-12,0.5530864197530864,0.9082005718067524,13.0,4.0,15.0,0.7333333333333333,26.0,1.0,11.0,0.2727272727272727,0.7272727272727273,0.0,4.0,,1.0,4.0,6.0,4.0,26.0,0.5,0.5,1.0,15.0,0.3333333333333333,0.3333333333333333,0.0,12.0,,1.0,12.0,12.0,12.0,48.0,0.5833333333333333,0.1818181818181818,0.0,0.0,0.0,1.0,0.0,8.0,8.0,12.0,0.3333333333333333,16.0,9.0,6.0,12.0,0.5,18.0,8.0,8.0,12.0,0.3333333333333333,16.0,37.0,22.0,48.0,0.5416666666666666,74.0,121,5,False,False
HS-1-6,QSVM-10,0.4573268921095008,0.9198586607628776,16.0,14.0,23.0,0.391304347826087,32.0,1.0,9.0,0.217391304347826,0.6296296296296297,0.0,6.0,,1.0,6.0,5.0,6.0,29.0,0.6086956521739131,0.3333333333333333,1.0,23.0,0.3103448275862069,0.3739130434782609,0.0,10.0,,1.0,10.0,18.0,10.0,68.0,0.603448275862069,0.2,0.0,0.0,0.0,1.0,0.0,8.0,4.0,10.0,0.6,16.0,11.5,13.0,18.0,0.2777777777777778,23.0,8.0,4.0,10.0,0.6,16.0,48.5,39.0,68.0,0.4264705882352941,97.0,122,11,False,False
GHZ-10,QAOA-P1-6,0.4485596707818929,0.8453786910198895,14.5,7.0,18.0,0.6111111111111112,29.0,1.0,11.0,0.9,0.2636363636363636,0.0,10.0,9.0,1.0,10.0,9.0,10.0,20.0,0.0,0.2,1.0,18.0,0.3703703703703703,0.3981481481481481,0.0,6.0,10.0,1.0,6.0,10.0,6.0,33.0,0.3333333333333333,0.3333333333333333,9.5,1.0,10.0,0.9,19.0,8.0,4.0,10.0,0.6,16.0,9.5,1.0,10.0,0.9,19.0,8.0,4.0,10.0,0.6,16.0,26.5,13.0,33.0,0.6060606060606061,53.0,123,24,False,False
QAOA-R3-8,VQE-1-8,0.419753086419753,0.8676156458612552,17.0,14.0,24.0,0.4166666666666667,34.0,0.5833333333333334,24.0,0.4615384615384615,0.4375,0.0,8.0,24.0,1.0,8.0,24.0,8.0,60.0,0.5384615384615384,0.4285714285714285,1.0,10.0,0.3043478260869565,0.475,0.0,8.0,7.0,1.0,8.0,7.0,8.0,31.0,0.5652173913043479,0.25,15.5,17.0,24.0,0.2916666666666667,31.0,8.0,0.0,8.0,1.0,16.0,15.5,17.0,24.0,0.2916666666666667,31.0,8.0,0.0,8.0,1.0,16.0,45.5,29.0,60.0,0.5166666666666667,91.0,124,21,False,False
GHZ-12,HS-1-4,0.5242165242165242,0.8383050051695038,10.0,6.0,13.0,0.5384615384615384,20.0,1.0,13.0,0.9166666666666666,0.2243589743589743,0.0,12.0,11.0,1.0,12.0,11.0,12.0,24.0,0.0,0.1666666666666666,1.0,7.0,0.2,0.7857142857142857,0.0,4.0,,1.0,4.0,3.0,4.0,19.0,0.5333333333333333,0.5,5.5,11.0,11.0,0.0,11.0,8.0,8.0,12.0,0.3333333333333333,16.0,7.0,8.0,11.0,0.2727272727272727,14.0,8.0,8.0,12.0,0.3333333333333333,16.0,21.5,5.0,24.0,0.7916666666666666,43.0,125,13,False,False
QAOA-P1-8,W-STATE-8,0.5761316872427983,0.8563034148674833,17.5,1.0,18.0,0.9444444444444444,35.0,0.7142857142857143,18.0,0.3783783783783784,0.4097222222222222,0.0,8.0,14.0,1.0,8.0,14.0,8.0,45.0,0.5135135135135135,0.25,0.5714285714285714,17.0,0.5,0.3676470588235294,0.0,8.0,7.0,1.0,8.0,14.0,8.0,36.0,0.3928571428571429,0.25,10.5,7.0,14.0,0.5,21.0,8.0,0.0,8.0,1.0,16.0,14.0,0.0,14.0,1.0,28.0,8.0,0.0,8.0,1.0,16.0,40.5,9.0,45.0,0.8,81.0,126,5,False,False
GHZ-12,QAOA-P1-4,0.5811965811965812,0.8346417400867837,12.5,1.0,13.0,0.9230769230769232,25.0,1.0,13.0,0.9166666666666666,0.2243589743589743,0.0,12.0,11.0,1.0,12.0,11.0,12.0,24.0,0.0,0.1666666666666666,1.0,12.0,0.3529411764705882,0.5625,0.0,4.0,6.0,1.0,4.0,6.0,4.0,21.0,0.2941176470588235,0.5,8.5,5.0,11.0,0.5454545454545454,17.0,8.0,8.0,12.0,0.3333333333333333,16.0,8.5,5.0,11.0,0.5454545454545454,17.0,8.0,8.0,12.0,0.3333333333333333,16.0,22.5,3.0,24.0,0.875,45.0,127,5,True,False
GHZ-10,QSVM-6,0.4938271604938271,0.8585629633351601,13.0,4.0,15.0,0.7333333333333333,26.0,1.0,11.0,0.9,0.2636363636363636,0.0,10.0,9.0,1.0,10.0,9.0,10.0,20.0,0.0,0.2,1.0,15.0,0.2941176470588235,0.5555555555555556,0.0,6.0,,1.0,6.0,10.0,6.0,40.0,0.5588235294117647,0.3333333333333333,4.5,9.0,9.0,0.0,9.0,8.0,4.0,10.0,0.6,16.0,9.5,1.0,10.0,0.9,19.0,8.0,4.0,10.0,0.6,16.0,30.0,20.0,40.0,0.5,60.0,128,18,False,False
QAOA-R3-12,W-STATE-4,0.4938271604938271,0.8115383533300924,18.0,18.0,27.0,0.3333333333333333,36.0,0.4444444444444444,27.0,0.4615384615384615,0.3888888888888889,0.0,12.0,36.0,1.0,12.0,36.0,12.0,90.0,0.6538461538461539,0.2727272727272727,0.6666666666666666,9.0,0.5,0.6111111111111112,0.0,4.0,3.0,1.0,4.0,6.0,4.0,16.0,0.25,0.5,19.5,33.0,36.0,0.0833333333333333,39.0,8.0,8.0,12.0,0.3333333333333333,16.0,21.0,30.0,36.0,0.1666666666666666,42.0,8.0,8.0,12.0,0.3333333333333333,16.0,53.0,74.0,90.0,0.1777777777777777,106.0,129,20,False,False
