util_lo,util_hi,orig_mean_fidelity,orig_count,new_mean_fidelity,new_count
0.06,0.08,nan,0,nan,0
0.08,0.1,0.8058010397602492,1,nan,0
0.1,0.12000000000000001,0.6243985406568071,22,0.8208655231804007,19
0.12000000000000001,0.14,0.9091209295691717,1,0.8573865409957717,5
